Customer ID,Age,State,Gender,Device_Count,Active_Months,Total_Purchases,Avg_Unit_Price,Total_Revenue,Avg_Satisfaction_Rate,Primary_Review,Customer_Tenure_Months,Avg_Data_Usage_GB,Total_Data_Usage_GB,Avg_GB_Purchased,Total_GB_Purchased,Primary_Plan_Type,Churn_Status,Reasons_for_Churn,Churn,Usage_vs_Purchased_Ratio,Revenue_per_Purchase,Tenure_Bucket
CUST0001,27,Kwara,Male,1,1,19,35000.0,665000,2.0,Fair,2,44.48,44.48,165.0,3135.0,Monthly,Yes,Relocation,1,0.014188197767145135,35000.0,0-6
CUST0002,16,Abuja (FCT),Female,1,1,12,5500.0,66000,2.0,Fair,22,19.79,19.79,12.5,150.0,Monthly,Yes,Better Offers from Competitors,1,0.13193333333333332,5500.0,13-24
CUST0003,21,Sokoto,Male,3,1,31,9833.333333333334,299000,1.0,Poor,60,94.34333333333332,283.03,60.333333333333336,1658.0,Monthly,No,,0,0.17070566948130275,9645.161290322581,37+
CUST0004,36,Gombe,Female,1,1,9,4500.0,40500,1.0,Poor,14,92.72,92.72,10.0,90.0,Monthly,No,,0,1.0302222222222222,4500.0,13-24
CUST0005,57,Oyo,Male,1,1,16,9000.0,144000,3.0,Good,53,42.92,42.92,25.0,400.0,Monthly,No,,0,0.1073,9000.0,37+
CUST0006,74,Plateau,Female,3,1,13,56500.0,413500,5.0,Excellent,9,31.293333333333333,93.88,536.0,3497.0,Monthly,No,,0,0.026845867886760078,31807.69230769231,7-12
CUST0007,24,Jigawa,Female,1,1,11,24000.0,264000,5.0,Excellent,39,150.3,150.3,120.0,1320.0,Monthly,Yes,Relocation,1,0.11386363636363638,24000.0,37+
CUST0008,53,Kwara,Male,1,1,17,30000.0,510000,3.0,Good,30,168.41,168.41,300.0,5100.0,Monthly,No,,0,0.03302156862745098,30000.0,25-36
CUST0009,35,Gombe,Male,1,1,10,30000.0,300000,5.0,Excellent,35,175.81,175.81,300.0,3000.0,Monthly,No,,0,0.058603333333333334,30000.0,25-36
CUST0010,23,Imo,Male,3,1,51,6450.0,355550,1.0,Poor,6,129.66666666666666,389.0,23.49609375,1286.34765625,Monthly,No,,0,0.302406583562351,6971.568627450981,0-6
CUST0011,72,Bauchi,Female,3,1,12,20166.666666666668,301000,2.0,Fair,8,14.416666666666666,43.25,141.66666666666666,2650.0,Monthly,Yes,Poor Network,1,0.01632075471698113,25083.333333333332,7-12
CUST0012,78,Ondo,Male,2,1,14,15250.0,221000,2.0,Fair,47,107.24000000000001,214.48000000000002,62.5,900.0,Monthly,No,,0,0.23831111111111114,15785.714285714286,37+
CUST0013,23,Kebbi,Female,2,1,26,2750.0,54000,2.0,Fair,52,72.485,144.97,6.6,137.6,2-Day,Yes,Relocation,1,1.0535610465116279,2076.923076923077,37+
CUST0014,22,Adamawa,Male,2,1,16,11750.0,128500,2.0,Fair,6,43.379999999999995,86.75999999999999,42.5,365.0,Monthly,No,,0,0.23769863013698628,8031.25,0-6
CUST0015,70,Yobe,Male,3,1,36,18333.333333333332,702000,2.0,Fair,13,64.23,192.69,131.66666666666666,5775.0,Monthly,No,,0,0.033366233766233766,19500.0,13-24
CUST0016,46,Kebbi,Male,3,1,19,19500.0,424500,5.0,Excellent,57,62.153333333333336,186.46,143.33333333333334,3710.0,Monthly,No,,0,0.05025876010781671,22342.105263157893,37+
CUST0017,74,Anambra,Male,1,1,15,9000.0,135000,5.0,Excellent,35,57.35,57.35,25.0,375.0,Monthly,Yes,Costly Data Plans,1,0.15293333333333334,9000.0,25-36
CUST0018,54,Bauchi,Male,1,1,18,20000.0,360000,1.0,Poor,43,178.0,178.0,150.0,2700.0,Monthly,No,,0,0.06592592592592593,20000.0,37+
CUST0019,50,Cross River,Male,2,1,25,4950.0,111600,2.0,Fair,46,14.105,28.21,13.75,310.0,2-Day,No,,0,0.091,4464.0,37+
CUST0020,49,Abuja (FCT),Female,3,1,17,38000.0,855000,5.0,Excellent,36,107.49666666666667,322.49,258.3333333333333,5225.0,Monthly,Yes,Poor Network,1,0.061720574162679426,50294.117647058825,25-36
CUST0021,42,Imo,Male,1,1,1,4500.0,4500,5.0,Excellent,23,176.34,176.34,10.0,10.0,Monthly,No,,0,17.634,4500.0,13-24
CUST0022,58,Kogi,Male,1,1,15,350.0,5250,1.0,Poor,18,40.31,40.31,0.48828125,7.32421875,Daily,No,,0,5.503658666666667,350.0,13-24
CUST0023,55,Osun,Male,1,1,13,25000.0,325000,4.0,Very Good,2,128.48,128.48,200.0,2600.0,Monthly,No,,0,0.04941538461538461,25000.0,0-6
CUST0024,58,Kano,Male,2,1,28,15750.0,391500,2.0,Fair,57,104.32,208.64,70.0,1660.0,Monthly,No,,0,0.1256867469879518,13982.142857142857,37+
CUST0025,65,Benue,Female,3,1,29,14500.0,526000,1.0,Poor,3,141.44,424.32,64.0,2423.0,Monthly,No,,0,0.1751217498968221,18137.931034482757,0-6
CUST0026,67,Cross River,Male,1,1,1,75000.0,75000,4.0,Very Good,13,109.81,109.81,450.0,450.0,3-Month,No,,0,0.24402222222222222,75000.0,13-24
CUST0027,52,Ondo,Female,3,1,25,10000.0,248500,4.0,Very Good,51,65.46333333333332,196.39,70.33333333333333,1707.0,Monthly,No,,0,0.1150497949619215,9940.0,37+
CUST0028,19,Rivers,Male,1,1,9,2700.0,26100,4.0,Very Good,31,129.41,258.82,6.25,60.0,2-Day,No,,0,4.313666666666666,2900.0,25-36
CUST0029,44,Enugu,Female,2,1,34,55000.0,1910000,1.0,Poor,4,172.845,345.69,307.5,10740.0,3-Month,No,,0,0.03218715083798883,56176.470588235294,0-6
CUST0030,49,Imo,Female,3,1,33,23000.0,767000,2.0,Fair,50,77.11,231.32999999999998,131.66666666666666,4995.0,Monthly,Yes,Poor Network,1,0.04631231231231231,23242.424242424244,37+
CUST0031,69,Kogi,Female,2,2,31,37950.0,917100,4.0,Very Good,35,133.54,267.08,226.25,5447.5,2-Day,Yes,Better Offers from Competitors,1,0.04902799449288664,29583.870967741936,25-36
CUST0032,65,Kogi,Male,1,1,13,3500.0,45500,3.0,Good,32,133.94,133.94,7.0,91.0,Monthly,No,,0,1.471868131868132,3500.0,25-36
CUST0033,75,Borno,Male,1,1,15,14500.0,217500,5.0,Excellent,59,27.57,27.57,60.0,900.0,Monthly,No,,0,0.030633333333333335,14500.0,37+
CUST0034,22,Edo,Female,2,1,18,20000.0,416000,4.0,Very Good,21,158.495,316.99,92.5,2050.0,Monthly,No,,0,0.15462926829268292,23111.11111111111,13-24
CUST0035,44,Kaduna,Male,3,1,48,26666.666666666668,1345000,2.0,Fair,49,87.10000000000001,261.3,171.66666666666666,8485.0,Monthly,Yes,Poor Network,1,0.03079552150854449,28020.833333333332,37+
CUST0036,36,Abia,Male,2,1,18,10175.0,202800,3.0,Good,38,77.625,155.25,75.244140625,1503.90625,Daily,No,,0,0.10323116883116883,11266.666666666666,37+
CUST0037,21,Ekiti,Female,2,1,26,24750.0,664000,1.0,Poor,43,81.58500000000001,163.17000000000002,112.5,3030.0,Monthly,No,,0,0.05385148514851486,25538.46153846154,37+
CUST0038,50,Adamawa,Female,1,1,8,30000.0,240000,5.0,Excellent,30,176.39,176.39,300.0,2400.0,Monthly,Yes,Better Offers from Competitors,1,0.07349583333333333,30000.0,25-36
CUST0039,64,Bayelsa,Male,2,1,16,20000.0,328000,2.0,Fair,32,139.845,279.69,92.5,1535.0,Monthly,No,,0,0.18220846905537458,20500.0,25-36
CUST0040,46,Kogi,Female,2,1,32,10500.0,393000,4.0,Very Good,36,60.395,120.79,76.6,2891.6,2-Day,No,,0,0.041772720984921845,12281.25,25-36
CUST0041,76,Bauchi,Female,2,1,25,11750.0,263500,3.0,Good,28,24.46,48.92,42.5,870.0,Monthly,No,,0,0.056229885057471264,10540.0,25-36
CUST0042,40,Ondo,Female,2,1,20,2550.0,82200,1.0,Poor,18,58.015,116.03,5.75,183.0,2-Day,No,,0,0.6340437158469946,4110.0,13-24
CUST0043,32,Yobe,Male,2,1,29,9000.0,261000,5.0,Excellent,56,107.69,215.38,30.0,870.0,Monthly,Yes,Fast Data Consumption,1,0.24756321839080458,9000.0,37+
CUST0044,25,Oyo,Male,1,1,13,350.0,4550,1.0,Poor,10,155.25,155.25,0.48828125,6.34765625,Daily,No,,0,24.457846153846155,350.0,7-12
CUST0045,72,Abia,Female,1,1,3,4500.0,13500,5.0,Excellent,20,53.3,53.3,10.0,30.0,Monthly,No,,0,1.7766666666666666,4500.0,13-24
CUST0046,46,Enugu,Male,3,1,37,21783.333333333332,853500,4.0,Very Good,11,76.78333333333332,230.34999999999997,155.16276041666666,7024.8828125,Monthly,No,,0,0.03279058258311693,23067.567567567567,7-12
CUST0047,70,Delta,Male,1,1,20,20000.0,400000,3.0,Good,42,158.63,158.63,150.0,3000.0,Monthly,No,,0,0.05287666666666666,20000.0,37+
